Ticker,Description,Change %,Volume*Price,Market Capitalization,Industry
BSE,BSE LTD,16.981011239552974,1.02873E+11,7.4231E+11,Investment Banks/Brokers
CDSL,CENTRAL DEPO SER (I) LTD,2.723751789172342,14208812105,2.5499E+11,Investment Banks/Brokers
CGCL,CAPRI GLOBAL CAPITAL LTD,3.2201334141904194,10345680731,1.40559E+11,Finance/Rental/Leasing
BEML,BEML LTD,2.5203795694815976,7400251579,134078638624.99998,Trucks/Construction/Farm Machinery
BHEL,BHEL,1.1449668193289173,4475291276.110001,7.523E+11,Electrical Products
MCX,MULTI COMMODITY EXCHANGE,1.2562311160250412,4309964574,270842119147.00003,Investment Banks/Brokers
FORTIS,FORTIS HEALTHCARE LTD,3.9520690681750628,4239099728,527338253722.99994,Hospital/Nursing Management
AMBER,AMBER ENTERPRISES (I) LTD,1.115504886907018,3688876167,2.43847E+11,Industrial Machinery
INOXWIND,INOX WIND LTD,2.9487908063395762,3600007166,2.12258E+11,Electrical Products
